matnr;werks;lgort;labst;umlme;insme;einme;speme;retme
000000000004400010;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400011;E010;1100;116480.000;0.000;0.000;0.000;0.000;0.000
000000000004400011;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400011;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400012;E010;1100;1604710.000;0.000;0.000;0.000;0.000;0.000
000000000004400012;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400012;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400013;E010;1100;258340.000;0.000;0.000;0.000;0.000;0.000
000000000004400013;E110;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400013;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
000000000004400018;E010;1100;117290.000;0.000;0.000;0.000;0.000;0.000
000000000004400018;E210;1100;0.000;0.000;0.000;0.000;0.000;0.000
